region,group,sens,esp,ppv,npv
w32,1,0,90.93387178192832,0,99.84480656246537
w32,2,0,90.94575519257914,0,99.98891475446182
w32,3,0,90.92746009294808,0,99.76720984369804
w32,4,0,90.93112502524743,0,99.81155082585079
w32,5,5.128205128205128,90.93117408906882,0.22271714922048996,99.58984591508701
w32,6,10.526315789473683,90.94949494949495,0.22271714922048996,99.81155082585079
w32,7,0,90.94301563287948,0,99.95565901784724
w32,8,0,90.93844601412714,0,99.90023279015631
w32,9,0,90.9393603067299,0,99.91131803569448
w32,10,0,90.93844601412714,0,99.90023279015631
w32,11,5.555555555555555,90.94030905969093,0.11135857461024498,99.81155082585079
w32,12,0,90.92929292929293,0,99.7893803347744
w32,13,0,90.93661687525231,0,99.87806229907993
w32,14,0,90.94027441485069,0,99.92240328123268
w32,15,0,90.9393603067299,0,99.91131803569448
w32,16,0,90.941188338545345,0,99.93348852677086
w32,17,NA,90.9466680108882,0,100
w32,18,4.545454545454546,90.93664746892998,0.11135857461024498,99.76720984369804
w32,19,12.5,90.95223669595072,0.22271714922048996,99.84480656246537
w32,20,0,90.94484219017848,0,99.97782950892362
w32,21,0,90.94027441485069,0,99.92240328123268
w32,22,3.225806451612903,90.92839805825243,0.11135857461024498,99.66744263385434
w32,23,0,90.92562651576395,0,99.74503935262166
w32,24,0,90.93570202886848,0,99.86697705354175
w32,25,3.225806451612903,90.92839805825243,0.11135857461024498,99.66744263385434
w32,MEAN,1.8627976634131134,90.93775937861712,0.044543429844097995,99.84746702139452
w32,SD,3.5040874131892976,0.007114789047259046,0.07874240325017233,0.10556623143381112
w79,1,15.517241379310345,90.77833316331734,1.9522776572668112,98.91074802712015
w79,2,31.182795698924732,90.91186647669448,3.14533622559653,99.28865177281317
w79,3,20,90.84686893451833,2.8199566160520604,98.84405913082138
w79,4,18.9873417721519,90.86159204999488,3.2537960954446854,98.57730354562632
w79,5,21.693121693121693,90.94552929085303,4.4468546637744035,98.35500722463043
w79,6,21.27659574468085,90.87748005727143,3.2537960954446854,98.76625541847282
w79,7,16.666666666666664,90.79955069947921,2.27765726681128,98.83294431477158
